N,AMO.1206.80.158,AMORE                                                       ,Modern                                                           ,Amore is a range of bright reds and yellows. Superb quality with a beautiful finish; this range is a range you will simply fall in love with.                                                                                                             ,Heat set polypropylene frise; machine made                                                                                                                                                                                                                ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; rich colour pallete; colour fast; antistatic and easy to clean.                                                                                                              ,                                                                                                                                                                                                                                                          ,Turkey     ,Heat set polypropylene frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary head vacuum cleaners. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                      ,2,160cm x 235cm        160,2.55,479,20,383.2,AMO_1206_80_V,AMO_1206_80_S,AMO_1206_80_L, 
N,AMO.1206.80.202,AMORE                                                       ,Modern                                                           ,Amore is a range of bright reds and yellows. Superb quality with a beautiful finish; this range is a range you will simply fall in love with.                                                                                                             ,Heat set polypropylene frise; machine made                                                                                                                                                                                                                ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; rich colour pallete; colour fast; antistatic and easy to clean.                                                                                                              ,                                                                                                                                                                                                                                                          ,Turkey     ,Heat set polypropylene frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary head vacuum cleaners. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                      ,4,200cm x 300cm        200,2.55,759,20,607.2,AMO_1206_80_V,AMO_1206_80_S,AMO_1206_80_L, 
N,AMO.1206.80.253,AMORE                                                       ,Modern                                                           ,Amore is a range of bright reds and yellows. Superb quality with a beautiful finish; this range is a range you will simply fall in love with.                                                                                                             ,Heat set polypropylene frise; machine made                                                                                                                                                                                                                ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; rich colour pallete; colour fast; antistatic and easy to clean.                                                                                                              ,                                                                                                                                                                                                                                                          ,Turkey     ,Heat set polypropylene frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary head vacuum cleaners. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                      ,2,240cm x 350cm        240,2.55,1069,20,855.2,AMO_1206_80_V,AMO_1206_80_S,AMO_1206_80_L, 
N,AMO.1206.80.280,AMORE                                                       ,Modern                                                           ,Amore is a range of bright reds and yellows. Superb quality with a beautiful finish; this range is a range you will simply fall in love with.                                                                                                             ,Heat set polypropylene frise; machine made                                                                                                                                                                                                                ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; rich colour pallete; colour fast; antistatic and easy to clean.                                                                                                              ,                                                                                                                                                                                                                                                          ,Turkey     ,Heat set polypropylene frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary head vacuum cleaners. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                      ,2,280cm x 380cm        280,2.55,1355,20,1084,AMO_1206_80_V,AMO_1206_80_S,AMO_1206_80_L, 
N,AMO.1392.80.121,AMORE                                                       ,Modern                                                           ,Amore is a range of bright reds and yellows. Superb quality with a beautiful finish; this range is a range you will simply fall in love with.                                                                                                             ,Heat set polypropylene frise; machine made                                                                                                                                                                                                                ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; rich colour pallete; colour fast; antistatic and easy to clean.                                                                                                              ,                                                                                                                                                                                                                                                          ,Turkey     ,Heat set polypropylene frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary head vacuum cleaners. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                      ,3,120cm x 180cm        120,2.55,275,20,220,AMO_1392_80_V,AMO_1392_80_S,AMO_1392_80_L, 
N,AMO.1392.80.158,AMORE                                                       ,Modern                                                           ,Amore is a range of bright reds and yellows. Superb quality with a beautiful finish; this range is a range you will simply fall in love with.                                                                                                             ,Heat set polypropylene frise; machine made                                                                                                                                                                                                                ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; rich colour pallete; colour fast; antistatic and easy to clean.                                                                                                              ,                                                                                                                                                                                                                                                          ,Turkey     ,Heat set polypropylene frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary head vacuum cleaners. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                      ,5,160cm x 235cm        160,2.55,479,20,383.2,AMO_1392_80_V,AMO_1392_80_S,AMO_1392_80_L, 
N,AMO.1392.80.202,AMORE                                                       ,Modern                                                           ,Amore is a range of bright reds and yellows. Superb quality with a beautiful finish; this range is a range you will simply fall in love with.                                                                                                             ,Heat set polypropylene frise; machine made                                                                                                                                                                                                                ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; rich colour pallete; colour fast; antistatic and easy to clean.                                                                                                              ,                                                                                                                                                                                                                                                          ,Turkey     ,Heat set polypropylene frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary head vacuum cleaners. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                      ,5,200cm x 300cm        200,2.55,759,20,607.2,AMO_1392_80_V,AMO_1392_80_S,AMO_1392_80_L, 
N,AMO.1392.80.280,AMORE                                                       ,Modern                                                           ,Amore is a range of bright reds and yellows. Superb quality with a beautiful finish; this range is a range you will simply fall in love with.                                                                                                             ,Heat set polypropylene frise; machine made                                                                                                                                                                                                                ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; rich colour pallete; colour fast; antistatic and easy to clean.                                                                                                              ,                                                                                                                                                                                                                                                          ,Turkey     ,Heat set polypropylene frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary head vacuum cleaners. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                      ,1,280cm x 380cm        280,2.55,1355,20,1084,AMO_1392_80_V,AMO_1392_80_S,AMO_1392_80_L, 
N,AMO.1449.80.121,AMORE                                                       ,Modern                                                           ,Amore is a range of bright reds and yellows. Superb quality with a beautiful finish; this range is a range you will simply fall in love with.                                                                                                             ,Heat set polypropylene frise; machine made                                                                                                                                                                                                                ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; rich colour pallete; colour fast; antistatic and easy to clean.                                                                                                              ,                                                                                                                                                                                                                                                          ,Turkey     ,Heat set polypropylene frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary head vacuum cleaners. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                      ,2,120cm x 180cm        120,2.55,275,20,220,AMO_1449_80_V,AMO_1449_80_S,AMO_1449_80_L, 
N,AMO.1449.80.158,AMORE                                                       ,Modern                                                           ,Amore is a range of bright reds and yellows. Superb quality with a beautiful finish; this range is a range you will simply fall in love with.                                                                                                             ,Heat set polypropylene frise; machine made                                                                                                                                                                                                                ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; rich colour pallete; colour fast; antistatic and easy to clean.                                                                                                              ,                                                                                                                                                                                                                                                          ,Turkey     ,Heat set polypropylene frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary head vacuum cleaners. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                      ,5,160cm x 235cm        160,2.55,479,20,383.2,AMO_1449_80_V,AMO_1449_80_S,AMO_1449_80_L, 
N,AMO.1449.80.202,AMORE                                                       ,Modern                                                           ,Amore is a range of bright reds and yellows. Superb quality with a beautiful finish; this range is a range you will simply fall in love with.                                                                                                             ,Heat set polypropylene frise; machine made                                                                                                                                                                                                                ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; rich colour pallete; colour fast; antistatic and easy to clean.                                                                                                              ,                                                                                                                                                                                                                                                          ,Turkey     ,Heat set polypropylene frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary head vacuum cleaners. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                      ,3,200cm x 300cm        200,2.55,759,20,607.2,AMO_1449_80_V,AMO_1449_80_S,AMO_1449_80_L, 
