Category,Code,"Quantity Available",Supplier,"Description - Paragraph 1","Description - Paragraph 2","Description - Paragraph 3","Description - Paragraph 4","Product - Length","Product - Width","Product - Thickness","Pack - Length","Pack - Width","Pack - Thickness","Pack - Weight","Online Discount","Recommended Retail Price","Media - Photo 1","Media - Photo 2","Media - Photo 3","Media - Instructional Video"
,UN1574,0,,,,,,,,,,,,,,6.00,UN1574_V,UN1574_L,UN1574_S,
,UN3399,0,,,,,,,,,,,,,,65.00,UN3399_V,UN3399_L,UN3399_S,
,UN4007,0,,,,,,,,,,,,,,28.00,UN4007_V,UN4007_L,UN4007_S,
,UN4506,0,,,,,,,,,,,,,,20.00,UN4506_V,UN4506_L,UN4506_S,
,UN4508,0,,,,,,,,,,,,,,8.50,UN4508_V,UN4508_L,UN4508_S,
,UN4509,0,,,,,,,,,,,,,,7.00,UN4509_V,UN4509_L,UN4509_S,
,UN4510,0,,,,,,,,,,,,,,10.00,UN4510_V,UN4510_L,UN4510_S,
,UN4511,0,,,,,,,,,,,,,,10.00,UN4511_V,UN4511_L,UN4511_S,
,UN4512,0,,,,,,,,,,,,,,18.00,UN4512_V,UN4512_L,UN4512_S,
,UN4513,0,,,,,,,,,,,,,,5.00,UN4513_V,UN4513_L,UN4513_S,
,UN4520,0,,,,,,,,,,,,,,156.00,UN4520_V,UN4520_L,UN4520_S,
,UN5500,0,,,,,,,,,,,,,,13.00,UN5500_V,UN5500_L,UN5500_S,
,UN8005,650,,,,,,,,,,,,,,6.00,UN8005_V,UN8005_L,UN8005_S,
,UN8010,406,,,,,,,,,,,,,,8.00,UN8010_V,UN8010_L,UN8010_S,
,UN8020,129,,,,,,,,,,,,,,8.00,UN8020_V,UN8020_L,UN8020_S,
,UN8030,56,,,,,,,,,,,,,,8.00,UN8030_V,UN8030_L,UN8030_S,
,UN8040,114,,,,,,,,,,,,,,8.00,UN8040_V,UN8040_L,UN8040_S,
,UN8050,0,,,,,,,,,,,,,,8.00,UN8050_V,UN8050_L,UN8050_S,
,UN8060,358,,,,,,,,,,,,,,9.00,UN8060_V,UN8060_L,UN8060_S,
,UN8070,300,,,,,,,,,,,,,,9.00,UN8070_V,UN8070_L,UN8070_S,
