Category,Code,"Quantity Available",Range,"Board Type","Species / Colour / Decore",Supplier,"Description - Paragraph 1","Description - Paragraph 2","Description - Paragraph 3","Description - Paragraph 4","Country of Origin Manufacture","Product - Length","Product - Width","Product - Thickness Veneer","Product - Thickness Total","Pack - Length","Pack - Width","Pack - Thickness","Pack - Weight","Boards per pack","Installation options","Underlay Options","Glue Options","Scotia Options",Accessories,"Size m2","Edge Type","Joint System","Surface Finish","Janka Rating","Structural Warranty","Wear Layer Warranty","Construction Style","Recommended Use","Recommended Areas of Use","Care Instructions","Standards - Coating","Standards - AC Rating","Standards - Core Type","Standards - Anti Slip Test","Standards - ISO Certification","Standards - Base","Trim Options","Recommended Retail Price","Online Discount","Media - Photo 1","Media - Photo 2","Media - Photo 3","Media - Instructional Video"
"Laminate Flooring",PA2509,361,"Classic 1050","2 Strip","Tropic Ash",Parador,"You simply cannot do anything wrong with classics, besides which
you can prove that you have a taste that sets you apart from the
masses. Laminate flooring floors from the Classic collection are, as
the name suggests, the classics by Parador. They are distinguished
by their exquisite yet unassumingly timeless look and a touch of
luxurious elegance. The Classic floors in block and wideplank look
offer plenty of scope for design, which goes with many styles. The
Classic range offers different qualities for every requirement, is suitable
for many different areas of use and can be beautifully combined
both with classical and modern style elements. Parador Laminate
Flooring Classic is the fi rst and best choice for all those who want to
furnish their homes to the highest classical standards and steer clear
of changing fashions.","Parador offers premium quality “Made in Germany”. Our many years of experience provides the foundation for this combined with the relentless drive to further develop our expertise in all relevant areas. Our customers can tell the quality of our laminate floors by the brilliance of our decors as well as by the particularly good anti-swelling behaviour of the core boards and the perfect click connections. These properties characterise the faultless appearance of the Parador installation over the long term.","The elaborately reproduced decor papers based on organic dyes
are made with innovative printing methods and guarantee an unsurpassed
brilliance of colour. The latest computer-controlled profiling
machines ensure the highest fitting accuracy and thus enable a
perfect click connection, which guarantees a joint that is almost
imperceptible to the eye. This creates a uniform look, whilst dirt and
damp are less able to penetrate the floor, making cleaning considerably
easier. In order to be able to guarantee these and other qualities
for every single plank of laminate flooring, the whole production
process is continually subject to quality control procedures.",,Germany,1285mm,194mm,na,8mm,,,,"19 Kg",10,"This type of flooring can be floated over any level hard surface throughout your home. (except Wet areas) A floating floor requires an expansion gap to be left around the perimeter of the room and to any solid obstructions. Floating floors can be installed over existing direct stuck vinyl floors and some tiled floors also. Please refer to the manufacturers guide for further instructions.","Standard 2mm Foam or Acoustic and Moisture barrier required",na,"Parador matching Quad",nil,2.49,Square,"Uniclic and Safe Lock","Highly wear resistant top layer made of melamine resin overlay",na,"25 year manufacturer","25 year domestic","HDF Pressed","General Domestic and Light Commercial","All areas except wet areas","Like all floating floors you should only lightly Mop your floor without leaving any excess water on it. A constant humidty level of around 55-65% relative air humity is best to preserve the value of and to care for your floor. We also recommend mats at all doorways to avoid sand and dirt being walked onto the flooring. Further maintainence guides are available on the manufacturers web site.",na,"AC4  Wear Class 23 and 32 ",HDF,"EN 13893 EN14041 R9",,"Moisture repellent reverse side","Metal only",28,0,PA2509_V,PA2509_L,PA2509_S,
"Laminate Flooring",PA2519,149,"Classic 1050","1 strip","Natural Oak",Parador,"You simply cannot do anything wrong with classics, besides which
you can prove that you have a taste that sets you apart from the
masses. Laminate flooring floors from the Classic collection are, as
the name suggests, the classics by Parador. They are distinguished
by their exquisite yet unassumingly timeless look and a touch of
luxurious elegance. The Classic floors in block and wideplank look
offer plenty of scope for design, which goes with many styles. The
Classic range offers different qualities for every requirement, is suitable
for many different areas of use and can be beautifully combined
both with classical and modern style elements. Parador Laminate
Flooring Classic is the fi rst and best choice for all those who want to
furnish their homes to the highest classical standards and steer clear
of changing fashions.","Parador offers premium quality “Made in Germany”. Our many years of experience provides the foundation for this combined with the relentless drive to further develop our expertise in all relevant areas. Our customers can tell the quality of our laminate floors by the brilliance of our decors as well as by the particularly good anti-swelling behaviour of the core boards and the perfect click connections. These properties characterise the faultless appearance of the Parador installation over the long term.","The elaborately reproduced decor papers based on organic dyes
are made with innovative printing methods and guarantee an unsurpassed
brilliance of colour. The latest computer-controlled profiling
machines ensure the highest fitting accuracy and thus enable a
perfect click connection, which guarantees a joint that is almost
imperceptible to the eye. This creates a uniform look, whilst dirt and
damp are less able to penetrate the floor, making cleaning considerably
easier. In order to be able to guarantee these and other qualities
for every single plank of laminate flooring, the whole production
process is continually subject to quality control procedures.",,Germany,1285mm,194mm,na,8mm,,,,"19 Kg",10,"This type of flooring can be floated over any level hard surface throughout your home. (except Wet areas) A floating floor requires an expansion gap to be left around the perimeter of the room and to any solid obstructions. Floating floors can be installed over existing direct stuck vinyl floors and some tiled floors also. Please refer to the manufacturers guide for further instructions.","Standard 2mm Foam or Acoustic and Moisture barrier required",na,"Parador matching Quad",nil,2.49,Square,"Uniclic and Safe Lock","Highly wear resistant top layer made of melamine resin overlay",na,"25 year manufacturer","25 year domestic","HDF Pressed","General Domestic and Light Commercial","All areas except wet areas","Like all floating floors you should only lightly Mop your floor without leaving any excess water on it. A constant humidty level of around 55-65% relative air humity is best to preserve the value of and to care for your floor. We also recommend mats at all doorways to avoid sand and dirt being walked onto the flooring. Further maintainence guides are available on the manufacturers web site.",na,"AC4  Wear Class 23 and 32 ",HDF,"EN 13893 EN14041 R9",,"Moisture repellent reverse side","Metal only",28,0,PA2519_V,PA2519_L,PA2519_S,
"Laminate Flooring",PA2527,112,"Classic 1050","2 Strip",Merbau,Parador,"You simply cannot do anything wrong with classics, besides which
you can prove that you have a taste that sets you apart from the
masses. Laminate flooring floors from the Classic collection are, as
the name suggests, the classics by Parador. They are distinguished
by their exquisite yet unassumingly timeless look and a touch of
luxurious elegance. The Classic floors in block and wideplank look
offer plenty of scope for design, which goes with many styles. The
Classic range offers different qualities for every requirement, is suitable
for many different areas of use and can be beautifully combined
both with classical and modern style elements. Parador Laminate
Flooring Classic is the fi rst and best choice for all those who want to
furnish their homes to the highest classical standards and steer clear
of changing fashions.","Parador offers premium quality “Made in Germany”. Our many years of experience provides the foundation for this combined with the relentless drive to further develop our expertise in all relevant areas. Our customers can tell the quality of our laminate floors by the brilliance of our decors as well as by the particularly good anti-swelling behaviour of the core boards and the perfect click connections. These properties characterise the faultless appearance of the Parador installation over the long term.","The elaborately reproduced decor papers based on organic dyes
are made with innovative printing methods and guarantee an unsurpassed
brilliance of colour. The latest computer-controlled profiling
machines ensure the highest fitting accuracy and thus enable a
perfect click connection, which guarantees a joint that is almost
imperceptible to the eye. This creates a uniform look, whilst dirt and
damp are less able to penetrate the floor, making cleaning considerably
easier. In order to be able to guarantee these and other qualities
for every single plank of laminate flooring, the whole production
process is continually subject to quality control procedures.",,Germany,1285mm,194mm,na,8mm,,,,"19 Kg",10,"This type of flooring can be floated over any level hard surface throughout your home. (except Wet areas) A floating floor requires an expansion gap to be left around the perimeter of the room and to any solid obstructions. Floating floors can be installed over existing direct stuck vinyl floors and some tiled floors also. Please refer to the manufacturers guide for further instructions.","Standard 2mm Foam or Acoustic and Moisture barrier required",na,"Parador matching Quad",nil,2.49,Square,"Uniclic and Safe Lock","Highly wear resistant top layer made of melamine resin overlay",na,"25 year manufacturer","25 year domestic","HDF Pressed","General Domestic and Light Commercial","All areas except wet areas","Like all floating floors you should only lightly Mop your floor without leaving any excess water on it. A constant humidty level of around 55-65% relative air humity is best to preserve the value of and to care for your floor. We also recommend mats at all doorways to avoid sand and dirt being walked onto the flooring. Further maintainence guides are available on the manufacturers web site.",na,"AC4  Wear Class 23 and 32 ",HDF,"EN 13893 EN14041 R9",,"Moisture repellent reverse side","Metal only",28,0,PA2527_V,PA2527_L,PA2527_S,
"Laminate Flooring",PA2529,273,"Classic 1050","3 Strip","Walnut Antique Block",Parador,"You simply cannot do anything wrong with classics, besides which
you can prove that you have a taste that sets you apart from the
masses. Laminate flooring floors from the Classic collection are, as
the name suggests, the classics by Parador. They are distinguished
by their exquisite yet unassumingly timeless look and a touch of
luxurious elegance. The Classic floors in block and wideplank look
offer plenty of scope for design, which goes with many styles. The
Classic range offers different qualities for every requirement, is suitable
for many different areas of use and can be beautifully combined
both with classical and modern style elements. Parador Laminate
Flooring Classic is the fi rst and best choice for all those who want to
furnish their homes to the highest classical standards and steer clear
of changing fashions.","Parador offers premium quality “Made in Germany”. Our many years of experience provides the foundation for this combined with the relentless drive to further develop our expertise in all relevant areas. Our customers can tell the quality of our laminate floors by the brilliance of our decors as well as by the particularly good anti-swelling behaviour of the core boards and the perfect click connections. These properties characterise the faultless appearance of the Parador installation over the long term.","The elaborately reproduced decor papers based on organic dyes
are made with innovative printing methods and guarantee an unsurpassed
brilliance of colour. The latest computer-controlled profiling
machines ensure the highest fitting accuracy and thus enable a
perfect click connection, which guarantees a joint that is almost
imperceptible to the eye. This creates a uniform look, whilst dirt and
damp are less able to penetrate the floor, making cleaning considerably
easier. In order to be able to guarantee these and other qualities
for every single plank of laminate flooring, the whole production
process is continually subject to quality control procedures.",,Germany,1285mm,194mm,na,8mm,,,,"19 Kg",10,"This type of flooring can be floated over any level hard surface throughout your home. (except Wet areas) A floating floor requires an expansion gap to be left around the perimeter of the room and to any solid obstructions. Floating floors can be installed over existing direct stuck vinyl floors and some tiled floors also. Please refer to the manufacturers guide for further instructions.","Standard 2mm Foam or Acoustic and Moisture barrier required",na,"Parador matching Quad",nil,2.49,Square,"Uniclic and Safe Lock","Highly wear resistant top layer made of melamine resin overlay",na,"25 year manufacturer","25 year domestic","HDF Pressed","General Domestic and Light Commercial","All areas except wet areas","Like all floating floors you should only lightly Mop your floor without leaving any excess water on it. A constant humidty level of around 55-65% relative air humity is best to preserve the value of and to care for your floor. We also recommend mats at all doorways to avoid sand and dirt being walked onto the flooring. Further maintainence guides are available on the manufacturers web site.",na,"AC4  Wear Class 23 and 32 ",HDF,"EN 13893 EN14041 R9",,"Moisture repellent reverse side","Metal only",28,0,PA2529_V,PA2529_L,PA2529_S,
"Laminate Flooring",PA2534,"2,219","Classic 1050","3 Strip","Ocean Teak",Parador,"You simply cannot do anything wrong with classics, besides which
you can prove that you have a taste that sets you apart from the
masses. Laminate flooring floors from the Classic collection are, as
the name suggests, the classics by Parador. They are distinguished
by their exquisite yet unassumingly timeless look and a touch of
luxurious elegance. The Classic floors in block and wideplank look
offer plenty of scope for design, which goes with many styles. The
Classic range offers different qualities for every requirement, is suitable
for many different areas of use and can be beautifully combined
both with classical and modern style elements. Parador Laminate
Flooring Classic is the fi rst and best choice for all those who want to
furnish their homes to the highest classical standards and steer clear
of changing fashions.","Parador offers premium quality “Made in Germany”. Our many years of experience provides the foundation for this combined with the relentless drive to further develop our expertise in all relevant areas. Our customers can tell the quality of our laminate floors by the brilliance of our decors as well as by the particularly good anti-swelling behaviour of the core boards and the perfect click connections. These properties characterise the faultless appearance of the Parador installation over the long term.","The elaborately reproduced decor papers based on organic dyes
are made with innovative printing methods and guarantee an unsurpassed
brilliance of colour. The latest computer-controlled profiling
machines ensure the highest fitting accuracy and thus enable a
perfect click connection, which guarantees a joint that is almost
imperceptible to the eye. This creates a uniform look, whilst dirt and
damp are less able to penetrate the floor, making cleaning considerably
easier. In order to be able to guarantee these and other qualities
for every single plank of laminate flooring, the whole production
process is continually subject to quality control procedures.",,Germany,1285mm,194mm,na,8mm,,,,"19 Kg",10,"This type of flooring can be floated over any level hard surface throughout your home. (except Wet areas) A floating floor requires an expansion gap to be left around the perimeter of the room and to any solid obstructions. Floating floors can be installed over existing direct stuck vinyl floors and some tiled floors also. Please refer to the manufacturers guide for further instructions.","Standard 2mm Foam or Acoustic and Moisture barrier required",na,"Parador matching Quad",nil,2.49,Square,"Uniclic and Safe Lock","Highly wear resistant top layer made of melamine resin overlay",na,"25 year manufacturer","25 year domestic","HDF Pressed","General Domestic and Light Commercial","All areas except wet areas","Like all floating floors you should only lightly Mop your floor without leaving any excess water on it. A constant humidty level of around 55-65% relative air humity is best to preserve the value of and to care for your floor. We also recommend mats at all doorways to avoid sand and dirt being walked onto the flooring. Further maintainence guides are available on the manufacturers web site.",na,"AC4  Wear Class 23 and 32 ",HDF,"EN 13893 EN14041 R9",,"Moisture repellent reverse side","Metal only",28,0,PA2534_V,PA2534_L,PA2534_S,
"Laminate Flooring",PA2548,271,"Classic 1050","3 Strip","Smoked Oak",Parador,"You simply cannot do anything wrong with classics, besides which
you can prove that you have a taste that sets you apart from the
masses. Laminate flooring floors from the Classic collection are, as
the name suggests, the classics by Parador. They are distinguished
by their exquisite yet unassumingly timeless look and a touch of
luxurious elegance. The Classic floors in block and wideplank look
offer plenty of scope for design, which goes with many styles. The
Classic range offers different qualities for every requirement, is suitable
for many different areas of use and can be beautifully combined
both with classical and modern style elements. Parador Laminate
Flooring Classic is the fi rst and best choice for all those who want to
furnish their homes to the highest classical standards and steer clear
of changing fashions.","Parador offers premium quality “Made in Germany”. Our many years of experience provides the foundation for this combined with the relentless drive to further develop our expertise in all relevant areas. Our customers can tell the quality of our laminate floors by the brilliance of our decors as well as by the particularly good anti-swelling behaviour of the core boards and the perfect click connections. These properties characterise the faultless appearance of the Parador installation over the long term.","The elaborately reproduced decor papers based on organic dyes
are made with innovative printing methods and guarantee an unsurpassed
brilliance of colour. The latest computer-controlled profiling
machines ensure the highest fitting accuracy and thus enable a
perfect click connection, which guarantees a joint that is almost
imperceptible to the eye. This creates a uniform look, whilst dirt and
damp are less able to penetrate the floor, making cleaning considerably
easier. In order to be able to guarantee these and other qualities
for every single plank of laminate flooring, the whole production
process is continually subject to quality control procedures.",,Germany,1285mm,194mm,na,8mm,,,,"19 Kg",10,"This type of flooring can be floated over any level hard surface throughout your home. (except Wet areas) A floating floor requires an expansion gap to be left around the perimeter of the room and to any solid obstructions. Floating floors can be installed over existing direct stuck vinyl floors and some tiled floors also. Please refer to the manufacturers guide for further instructions.","Standard 2mm Foam or Acoustic and Moisture barrier required",na,"Parador matching Quad",nil,2.49,Square,"Uniclic and Safe Lock","Highly wear resistant top layer made of melamine resin overlay",na,"25 year manufacturer","25 year domestic","HDF Pressed","General Domestic and Light Commercial","All areas except wet areas","Like all floating floors you should only lightly Mop your floor without leaving any excess water on it. A constant humidty level of around 55-65% relative air humity is best to preserve the value of and to care for your floor. We also recommend mats at all doorways to avoid sand and dirt being walked onto the flooring. Further maintainence guides are available on the manufacturers web site.",na,"AC4  Wear Class 23 and 32 ",HDF,"EN 13893 EN14041 R9",,"Moisture repellent reverse side","Metal only",28,0,PA2548_V,PA2548_L,PA2548_S,
"Laminate Flooring",PA2549,"4,187","Classic 1050","2 Strip","Spotted Gum",Parador,"You simply cannot do anything wrong with classics, besides which
you can prove that you have a taste that sets you apart from the
masses. Laminate flooring floors from the Classic collection are, as
the name suggests, the classics by Parador. They are distinguished
by their exquisite yet unassumingly timeless look and a touch of
luxurious elegance. The Classic floors in block and wideplank look
offer plenty of scope for design, which goes with many styles. The
Classic range offers different qualities for every requirement, is suitable
for many different areas of use and can be beautifully combined
both with classical and modern style elements. Parador Laminate
Flooring Classic is the fi rst and best choice for all those who want to
furnish their homes to the highest classical standards and steer clear
of changing fashions.","Parador offers premium quality “Made in Germany”. Our many years of experience provides the foundation for this combined with the relentless drive to further develop our expertise in all relevant areas. Our customers can tell the quality of our laminate floors by the brilliance of our decors as well as by the particularly good anti-swelling behaviour of the core boards and the perfect click connections. These properties characterise the faultless appearance of the Parador installation over the long term.","The elaborately reproduced decor papers based on organic dyes
are made with innovative printing methods and guarantee an unsurpassed
brilliance of colour. The latest computer-controlled profiling
machines ensure the highest fitting accuracy and thus enable a
perfect click connection, which guarantees a joint that is almost
imperceptible to the eye. This creates a uniform look, whilst dirt and
damp are less able to penetrate the floor, making cleaning considerably
easier. In order to be able to guarantee these and other qualities
for every single plank of laminate flooring, the whole production
process is continually subject to quality control procedures.",,Germany,1285mm,194mm,na,8mm,,,,"19 Kg",10,"This type of flooring can be floated over any level hard surface throughout your home. (except Wet areas) A floating floor requires an expansion gap to be left around the perimeter of the room and to any solid obstructions. Floating floors can be installed over existing direct stuck vinyl floors and some tiled floors also. Please refer to the manufacturers guide for further instructions.","Standard 2mm Foam or Acoustic and Moisture barrier required",na,"Parador matching Quad",nil,2.49,Square,"Uniclic and Safe Lock","Highly wear resistant top layer made of melamine resin overlay",na,"25 year manufacturer","25 year domestic","HDF Pressed","General Domestic and Light Commercial","All areas except wet areas","Like all floating floors you should only lightly Mop your floor without leaving any excess water on it. A constant humidty level of around 55-65% relative air humity is best to preserve the value of and to care for your floor. We also recommend mats at all doorways to avoid sand and dirt being walked onto the flooring. Further maintainence guides are available on the manufacturers web site.",na,"AC4  Wear Class 23 and 32 ",HDF,"EN 13893 EN14041 R9",,"Moisture repellent reverse side","Metal only",28,0,PA2549_V,PA2549_L,PA2549_S,
"Laminate Flooring",PA2553,296,"Classic 1050","3 Strip","Walnut Limed",Parador,"You simply cannot do anything wrong with classics, besides which
you can prove that you have a taste that sets you apart from the
masses. Laminate flooring floors from the Classic collection are, as
the name suggests, the classics by Parador. They are distinguished
by their exquisite yet unassumingly timeless look and a touch of
luxurious elegance. The Classic floors in block and wideplank look
offer plenty of scope for design, which goes with many styles. The
Classic range offers different qualities for every requirement, is suitable
for many different areas of use and can be beautifully combined
both with classical and modern style elements. Parador Laminate
Flooring Classic is the fi rst and best choice for all those who want to
furnish their homes to the highest classical standards and steer clear
of changing fashions.","Parador offers premium quality “Made in Germany”. Our many years of experience provides the foundation for this combined with the relentless drive to further develop our expertise in all relevant areas. Our customers can tell the quality of our laminate floors by the brilliance of our decors as well as by the particularly good anti-swelling behaviour of the core boards and the perfect click connections. These properties characterise the faultless appearance of the Parador installation over the long term.","The elaborately reproduced decor papers based on organic dyes
are made with innovative printing methods and guarantee an unsurpassed
brilliance of colour. The latest computer-controlled profiling
machines ensure the highest fitting accuracy and thus enable a
perfect click connection, which guarantees a joint that is almost
imperceptible to the eye. This creates a uniform look, whilst dirt and
damp are less able to penetrate the floor, making cleaning considerably
easier. In order to be able to guarantee these and other qualities
for every single plank of laminate flooring, the whole production
process is continually subject to quality control procedures.",,Germany,1285mm,194mm,na,8mm,,,,"19 Kg",10,"This type of flooring can be floated over any level hard surface throughout your home. (except Wet areas) A floating floor requires an expansion gap to be left around the perimeter of the room and to any solid obstructions. Floating floors can be installed over existing direct stuck vinyl floors and some tiled floors also. Please refer to the manufacturers guide for further instructions.","Standard 2mm Foam or Acoustic and Moisture barrier required",na,"Parador matching Quad",nil,2.49,Square,"Uniclic and Safe Lock","Highly wear resistant top layer made of melamine resin overlay",na,"25 year manufacturer","25 year domestic","HDF Pressed","General Domestic and Light Commercial","All areas except wet areas","Like all floating floors you should only lightly Mop your floor without leaving any excess water on it. A constant humidty level of around 55-65% relative air humity is best to preserve the value of and to care for your floor. We also recommend mats at all doorways to avoid sand and dirt being walked onto the flooring. Further maintainence guides are available on the manufacturers web site.",na,"AC4  Wear Class 23 and 32 ",HDF,"EN 13893 EN14041 R9",,"Moisture repellent reverse side","Metal only",26,0,PA2553_V,PA2553_L,PA2553_S,
"Laminate Flooring",PA2564,"3,711","Classic 1050","2 Strip","Oak Lava",Parador,"You simply cannot do anything wrong with classics, besides which
you can prove that you have a taste that sets you apart from the
masses. Laminate flooring floors from the Classic collection are, as
the name suggests, the classics by Parador. They are distinguished
by their exquisite yet unassumingly timeless look and a touch of
luxurious elegance. The Classic floors in block and wideplank look
offer plenty of scope for design, which goes with many styles. The
Classic range offers different qualities for every requirement, is suitable
for many different areas of use and can be beautifully combined
both with classical and modern style elements. Parador Laminate
Flooring Classic is the fi rst and best choice for all those who want to
furnish their homes to the highest classical standards and steer clear
of changing fashions.","Parador offers premium quality “Made in Germany”. Our many years of experience provides the foundation for this combined with the relentless drive to further develop our expertise in all relevant areas. Our customers can tell the quality of our laminate floors by the brilliance of our decors as well as by the particularly good anti-swelling behaviour of the core boards and the perfect click connections. These properties characterise the faultless appearance of the Parador installation over the long term.","The elaborately reproduced decor papers based on organic dyes
are made with innovative printing methods and guarantee an unsurpassed
brilliance of colour. The latest computer-controlled profiling
machines ensure the highest fitting accuracy and thus enable a
perfect click connection, which guarantees a joint that is almost
imperceptible to the eye. This creates a uniform look, whilst dirt and
damp are less able to penetrate the floor, making cleaning considerably
easier. In order to be able to guarantee these and other qualities
for every single plank of laminate flooring, the whole production
process is continually subject to quality control procedures.",,Germany,1285mm,194mm,na,8mm,,,,"19 Kg",10,"This type of flooring can be floated over any level hard surface throughout your home. (except Wet areas) A floating floor requires an expansion gap to be left around the perimeter of the room and to any solid obstructions. Floating floors can be installed over existing direct stuck vinyl floors and some tiled floors also. Please refer to the manufacturers guide for further instructions.","Standard 2mm Foam or Acoustic and Moisture barrier required",na,"Parador matching Quad",nil,2.49,Square,"Uniclic and Safe Lock","Highly wear resistant top layer made of melamine resin overlay",na,"25 year manufacturer","25 year domestic","HDF Pressed","General Domestic and Light Commercial","All areas except wet areas","Like all floating floors you should only lightly Mop your floor without leaving any excess water on it. A constant humidty level of around 55-65% relative air humity is best to preserve the value of and to care for your floor. We also recommend mats at all doorways to avoid sand and dirt being walked onto the flooring. Further maintainence guides are available on the manufacturers web site.",na,"AC4  Wear Class 23 and 32 ",HDF,"EN 13893 EN14041 R9",,"Moisture repellent reverse side","Metal only",28,0,PA2564_V,PA2564_L,PA2564_S,
"Laminate Flooring",PA3114,129,"Trendtime 1","1 Strip","Oak Century Antique",Parador,"Parador laminate flooring Trendtime interprets contemporary furnishing
trends. The range includes authentic imitations of quality timbers all in many
different plank formats, surface textures and a four sided V joint groove. The ideal basis
for a design-oriented furnishing style.","Laminate flooring has long since freed itself from its natural predecessors, engineered wood and solid
wood flooring – not least because of its high resilience and easy maintenance, which also makes it
suitable for heavy duty demands in intensively used rooms. These days laminate flooring is experiencing a
higher level of appreciation than ever and is seen as a worthy alternative to real wood floors. Laminate
flooring from Parador is accorded a special role in this development. Due to our wealth of experience with
wood and the latest technical expertise, we are in a position to produce authentic interpretations of high
quality timbers and also transform other classic materials like stone and concrete into laminate flooring
realistically.","The elaborately reproduced decor papers based on organic dyes
are made with innovative printing methods and guarantee an unsurpassed
brilliance of colour. The latest computer-controlled profiling
machines ensure the highest fitting accuracy and thus enable a
perfect click connection, which guarantees a joint that is almost
imperceptible to the eye. This creates a uniform look, whilst dirt and
damp are less able to penetrate the floor, making cleaning considerably
easier. In order to be able to guarantee these and other qualities
for every single plank of laminate flooring, the whole production
process is continually subject to quality control procedures.",,Germany,1285mm,158mm,na,8mm,,,,"15 Kg",10,"This type of flooring can be floated over any level hard surface throughout your home. (except Wet areas) A floating floor requires an expansion gap to be left around the perimeter of the room and to any solid obstructions. Floating floors can be installed over existing direct stuck vinyl floors and some tiled floors also. Please refer to the manufacturers guide for further instructions.","Standard 2mm Foam or Acoustic and Moisture barrier required",na,"Parador matching Quad",nil,2.03,"4 sided V Groove","Uniclic and Safe Lock","Highly wear resistant top layer made of melamine resin overlay",na,"25 year manufacturer","25 year domestic","HDF Pressed","General Domestic and Light Commercial","All areas except wet areas","Like all floating floors you should only lightly Mop your floor without leaving any excess water on it. A constant humidty level of around 55-65% relative air humity is best to preserve the value of and to care for your floor. We also recommend mats at all doorways to avoid sand and dirt being walked onto the flooring. Further maintainence guides are available on the manufacturers web site.",na,"AC4  Wear Class 23 and 32 ",HDF,"EN 13893 EN14041 R9",,"Moisture repellent reverse side",,34,0,PA3114_V,PA3114_L,PA3114_S,
